ticker,form,report_date,filing_date,accession_number,locked_package_exists,manifest_exists,primary_document,detected_format,selected_entry_point,standalone_instance_candidate_count,warehouse_runs_count,latest_run_status,recorded_counts_match_physical,valid_nonzero_warehouse_load,category,evidence
AMZN,10-K,2020-12-31,2021-02-03,0001018724-21-000004,True,True,amzn-20201231.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872421000004\amzn-20201231.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1404, 'xbrl_contexts': 311, 'xbrl_units': 7, 'xbrl_concepts': 1277, 'xbrl_labels': 1662, 'xbrl_presentation_relationships': 913, 'xbrl_calculation_relationships': 280, 'xbrl_definition_relationships': 1048, 'xbrl_roles': 147}"
AMZN,10-Q,2021-03-31,2021-04-30,0001018724-21-000010,True,True,amzn-20210331.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872421000010\amzn-20210331.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 773, 'xbrl_contexts': 142, 'xbrl_units': 7, 'xbrl_concepts': 1031, 'xbrl_labels': 1115, 'xbrl_presentation_relationships': 544, 'xbrl_calculation_relationships': 237, 'xbrl_definition_relationships': 791, 'xbrl_roles': 85}"
AMZN,10-Q,2021-06-30,2021-07-30,0001018724-21-000020,True,True,amzn-20210630.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872421000020\amzn-20210630.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1066, 'xbrl_contexts': 204, 'xbrl_units': 7, 'xbrl_concepts': 1059, 'xbrl_labels': 1169, 'xbrl_presentation_relationships': 566, 'xbrl_calculation_relationships': 237, 'xbrl_definition_relationships': 818, 'xbrl_roles': 88}"
AMZN,10-Q,2021-09-30,2021-10-29,0001018724-21-000028,True,True,amzn-20210930.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872421000028\amzn-20210930.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1055, 'xbrl_contexts': 203, 'xbrl_units': 7, 'xbrl_concepts': 1051, 'xbrl_labels': 1153, 'xbrl_presentation_relationships': 562, 'xbrl_calculation_relationships': 237, 'xbrl_definition_relationships': 814, 'xbrl_roles': 85}"
AMZN,10-K,2021-12-31,2022-02-04,0001018724-22-000005,True,True,amzn-20211231.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872422000005\amzn-20211231.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1394, 'xbrl_contexts': 320, 'xbrl_units': 7, 'xbrl_concepts': 1305, 'xbrl_labels': 1724, 'xbrl_presentation_relationships': 941, 'xbrl_calculation_relationships': 284, 'xbrl_definition_relationships': 1089, 'xbrl_roles': 147}"
AMZN,10-Q,2022-03-31,2022-04-29,0001018724-22-000013,True,True,amzn-20220331.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872422000013\amzn-20220331.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 831, 'xbrl_contexts': 166, 'xbrl_units': 7, 'xbrl_concepts': 1079, 'xbrl_labels': 1222, 'xbrl_presentation_relationships': 608, 'xbrl_calculation_relationships': 234, 'xbrl_definition_relationships': 862, 'xbrl_roles': 90}"
AMZN,10-Q,2022-06-30,2022-07-29,0001018724-22-000019,True,True,amzn-20220630.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872422000019\amzn-20220630.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1129, 'xbrl_contexts': 241, 'xbrl_units': 7, 'xbrl_concepts': 1078, 'xbrl_labels': 1253, 'xbrl_presentation_relationships': 630, 'xbrl_calculation_relationships': 234, 'xbrl_definition_relationships': 868, 'xbrl_roles': 93}"
AMZN,10-Q,2022-09-30,2022-10-28,0001018724-22-000023,True,True,amzn-20220930.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872422000023\amzn-20220930.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1136, 'xbrl_contexts': 241, 'xbrl_units': 7, 'xbrl_concepts': 1076, 'xbrl_labels': 1251, 'xbrl_presentation_relationships': 628, 'xbrl_calculation_relationships': 238, 'xbrl_definition_relationships': 865, 'xbrl_roles': 93}"
AMZN,10-K,2022-12-31,2023-02-03,0001018724-23-000004,True,True,amzn-20221231.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872423000004\amzn-20221231.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1457, 'xbrl_contexts': 339, 'xbrl_units': 7, 'xbrl_concepts': 1319, 'xbrl_labels': 1789, 'xbrl_presentation_relationships': 974, 'xbrl_calculation_relationships': 299, 'xbrl_definition_relationships': 1100, 'xbrl_roles': 151}"
AMZN,10-Q,2023-03-31,2023-04-28,0001018724-23-000008,True,True,amzn-20230331.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872423000008\amzn-20230331.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 863, 'xbrl_contexts': 179, 'xbrl_units': 7, 'xbrl_concepts': 1074, 'xbrl_labels': 1244, 'xbrl_presentation_relationships': 616, 'xbrl_calculation_relationships': 233, 'xbrl_definition_relationships': 850, 'xbrl_roles': 93}"
AMZN,10-Q,2023-06-30,2023-08-04,0001018724-23-000012,True,True,amzn-20230630.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872423000012\amzn-20230630.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1156, 'xbrl_contexts': 244, 'xbrl_units': 7, 'xbrl_concepts': 1274, 'xbrl_labels': 1432, 'xbrl_presentation_relationships': 716, 'xbrl_calculation_relationships': 237, 'xbrl_definition_relationships': 1070, 'xbrl_roles': 117}"
AMZN,10-Q,2023-09-30,2023-10-27,0001018724-23-000018,True,True,amzn-20230930.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872423000018\amzn-20230930.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1138, 'xbrl_contexts': 237, 'xbrl_units': 7, 'xbrl_concepts': 1157, 'xbrl_labels': 1242, 'xbrl_presentation_relationships': 604, 'xbrl_calculation_relationships': 237, 'xbrl_definition_relationships': 929, 'xbrl_roles': 89}"
AMZN,10-K,2023-12-31,2024-02-02,0001018724-24-000008,True,True,amzn-20231231.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872424000008\amzn-20231231.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1502, 'xbrl_contexts': 362, 'xbrl_units': 7, 'xbrl_concepts': 1525, 'xbrl_labels': 1991, 'xbrl_presentation_relationships': 1076, 'xbrl_calculation_relationships': 281, 'xbrl_definition_relationships': 1319, 'xbrl_roles': 175}"
AMZN,10-Q,2024-03-31,2024-05-01,0001018724-24-000083,True,True,amzn-20240331.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872424000083\amzn-20240331.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 884, 'xbrl_contexts': 181, 'xbrl_units': 7, 'xbrl_concepts': 1265, 'xbrl_labels': 1410, 'xbrl_presentation_relationships': 708, 'xbrl_calculation_relationships': 239, 'xbrl_definition_relationships': 1062, 'xbrl_roles': 114}"
AMZN,10-Q,2024-06-30,2024-08-02,0001018724-24-000130,True,True,amzn-20240630.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872424000130\amzn-20240630.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1165, 'xbrl_contexts': 244, 'xbrl_units': 7, 'xbrl_concepts': 1407, 'xbrl_labels': 1406, 'xbrl_presentation_relationships': 702, 'xbrl_calculation_relationships': 238, 'xbrl_definition_relationships': 1199, 'xbrl_roles': 111}"
AMZN,10-Q,2024-09-30,2024-11-01,0001018724-24-000161,True,True,amzn-20240930.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872424000161\amzn-20240930.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1139, 'xbrl_contexts': 238, 'xbrl_units': 7, 'xbrl_concepts': 1417, 'xbrl_labels': 1425, 'xbrl_presentation_relationships': 716, 'xbrl_calculation_relationships': 221, 'xbrl_definition_relationships': 1291, 'xbrl_roles': 114}"
AMZN,10-K,2024-12-31,2025-02-07,0001018724-25-000004,True,True,amzn-20241231.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872425000004\amzn-20241231.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1499, 'xbrl_contexts': 357, 'xbrl_units': 7, 'xbrl_concepts': 1679, 'xbrl_labels': 1987, 'xbrl_presentation_relationships': 1087, 'xbrl_calculation_relationships': 268, 'xbrl_definition_relationships': 1549, 'xbrl_roles': 177}"
AMZN,10-Q,2025-03-31,2025-05-02,0001018724-25-000036,True,True,amzn-20250331.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872425000036\amzn-20250331.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 915, 'xbrl_contexts': 193, 'xbrl_units': 7, 'xbrl_concepts': 1419, 'xbrl_labels': 1425, 'xbrl_presentation_relationships': 743, 'xbrl_calculation_relationships': 226, 'xbrl_definition_relationships': 1314, 'xbrl_roles': 121}"
AMZN,10-Q,2025-06-30,2025-08-01,0001018724-25-000086,True,True,amzn-20250630.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872425000086\amzn-20250630.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1201, 'xbrl_contexts': 259, 'xbrl_units': 7, 'xbrl_concepts': 1437, 'xbrl_labels': 1398, 'xbrl_presentation_relationships': 730, 'xbrl_calculation_relationships': 210, 'xbrl_definition_relationships': 1338, 'xbrl_roles': 118}"
AMZN,10-Q,2025-09-30,2025-10-31,0001018724-25-000123,True,True,amzn-20250930.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872425000123\amzn-20250930.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1205, 'xbrl_contexts': 266, 'xbrl_units': 8, 'xbrl_concepts': 1455, 'xbrl_labels': 1450, 'xbrl_presentation_relationships': 758, 'xbrl_calculation_relationships': 220, 'xbrl_definition_relationships': 1373, 'xbrl_roles': 121}"
AMZN,10-K,2025-12-31,2026-02-06,0001018724-26-000004,True,True,amzn-20251231.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\AMZN\000101872426000004\amzn-20251231.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1637, 'xbrl_contexts': 373, 'xbrl_units': 10, 'xbrl_concepts': 1746, 'xbrl_labels': 2060, 'xbrl_presentation_relationships': 1156, 'xbrl_calculation_relationships': 305, 'xbrl_definition_relationships': 1619, 'xbrl_roles': 182}"
CRWD,10-K,2021-01-31,2021-03-18,0001535527-21-000007,True,True,crwd-20210131.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\CRWD\000153552721000007\crwd-20210131.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1426, 'xbrl_contexts': 344, 'xbrl_units': 11, 'xbrl_concepts': 1333, 'xbrl_labels': 1781, 'xbrl_presentation_relationships': 1051, 'xbrl_calculation_relationships': 189, 'xbrl_definition_relationships': 1346, 'xbrl_roles': 149}"
CRWD,10-Q,2021-04-30,2021-06-04,0001535527-21-000013,True,True,crwd-20210430.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\CRWD\000153552721000013\crwd-20210430.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 853, 'xbrl_contexts': 212, 'xbrl_units': 10, 'xbrl_concepts': 1097, 'xbrl_labels': 1265, 'xbrl_presentation_relationships': 673, 'xbrl_calculation_relationships': 133, 'xbrl_definition_relationships': 1036, 'xbrl_roles': 105}"
CRWD,10-Q,2021-07-31,2021-09-01,0001535527-21-000022,True,True,crwd-20210731.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\CRWD\000153552721000022\crwd-20210731.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1140, 'xbrl_contexts': 283, 'xbrl_units': 10, 'xbrl_concepts': 1114, 'xbrl_labels': 1302, 'xbrl_presentation_relationships': 690, 'xbrl_calculation_relationships': 135, 'xbrl_definition_relationships': 1056, 'xbrl_roles': 109}"
CRWD,10-Q,2021-10-31,2021-12-02,0001535527-21-000028,True,True,crwd-20211031.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\CRWD\000153552721000028\crwd-20211031.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1177, 'xbrl_contexts': 290, 'xbrl_units': 9, 'xbrl_concepts': 1147, 'xbrl_labels': 1384, 'xbrl_presentation_relationships': 729, 'xbrl_calculation_relationships': 143, 'xbrl_definition_relationships': 1080, 'xbrl_roles': 113}"
CRWD,10-K,2022-01-31,2022-03-16,0001535527-22-000006,True,True,crwd-20220131.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\CRWD\000153552722000006\crwd-20220131.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1414, 'xbrl_contexts': 323, 'xbrl_units': 12, 'xbrl_concepts': 1317, 'xbrl_labels': 1735, 'xbrl_presentation_relationships': 984, 'xbrl_calculation_relationships': 186, 'xbrl_definition_relationships': 1258, 'xbrl_roles': 140}"
CRWD,10-Q,2022-04-30,2022-06-03,0001535527-22-000012,True,True,crwd-20220430.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\CRWD\000153552722000012\crwd-20220430.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 813, 'xbrl_contexts': 225, 'xbrl_units': 9, 'xbrl_concepts': 1077, 'xbrl_labels': 1235, 'xbrl_presentation_relationships': 647, 'xbrl_calculation_relationships': 114, 'xbrl_definition_relationships': 999, 'xbrl_roles': 90}"
CRWD,10-Q,2022-07-31,2022-08-31,0001535527-22-000018,True,True,crwd-20220731.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\CRWD\000153552722000018\crwd-20220731.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1050, 'xbrl_contexts': 275, 'xbrl_units': 10, 'xbrl_concepts': 1073, 'xbrl_labels': 1235, 'xbrl_presentation_relationships': 651, 'xbrl_calculation_relationships': 114, 'xbrl_definition_relationships': 992, 'xbrl_roles': 90}"
CRWD,10-Q,2022-10-31,2022-11-30,0001535527-22-000025,True,True,crwd-20221031.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\CRWD\000153552722000025\crwd-20221031.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1084, 'xbrl_contexts': 285, 'xbrl_units': 10, 'xbrl_concepts': 1081, 'xbrl_labels': 1253, 'xbrl_presentation_relationships': 668, 'xbrl_calculation_relationships': 116, 'xbrl_definition_relationships': 1011, 'xbrl_roles': 91}"
CRWD,10-K,2023-01-31,2023-03-09,0001535527-23-000008,True,True,crwd-20230131.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\CRWD\000153552723000008\crwd-20230131.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1313, 'xbrl_contexts': 295, 'xbrl_units': 12, 'xbrl_concepts': 1248, 'xbrl_labels': 1613, 'xbrl_presentation_relationships': 885, 'xbrl_calculation_relationships': 173, 'xbrl_definition_relationships': 1128, 'xbrl_roles': 124}"
CRWD,10-Q,2023-04-30,2023-06-01,0001535527-23-000014,True,True,crwd-20230430.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\CRWD\000153552723000014\crwd-20230430.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 786, 'xbrl_contexts': 211, 'xbrl_units': 11, 'xbrl_concepts': 1053, 'xbrl_labels': 1188, 'xbrl_presentation_relationships': 616, 'xbrl_calculation_relationships': 113, 'xbrl_definition_relationships': 962, 'xbrl_roles': 84}"
CRWD,10-Q,2023-07-31,2023-08-31,0001535527-23-000020,True,True,crwd-20230731.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\CRWD\000153552723000020\crwd-20230731.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1052, 'xbrl_contexts': 275, 'xbrl_units': 11, 'xbrl_concepts': 1253, 'xbrl_labels': 1370, 'xbrl_presentation_relationships': 721, 'xbrl_calculation_relationships': 114, 'xbrl_definition_relationships': 1183, 'xbrl_roles': 109}"
CRWD,10-Q,2023-10-31,2023-11-29,0001535527-23-000026,True,True,crwd-20231031.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\CRWD\000153552723000026\crwd-20231031.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1077, 'xbrl_contexts': 274, 'xbrl_units': 11, 'xbrl_concepts': 1267, 'xbrl_labels': 1404, 'xbrl_presentation_relationships': 750, 'xbrl_calculation_relationships': 119, 'xbrl_definition_relationships': 1208, 'xbrl_roles': 113}"
CRWD,10-K,2024-01-31,2024-03-07,0001535527-24-000007,True,True,crwd-20240131.htm,INLINE_XBRL,C:\AI_Stock_Agent\data\sec_filings_locked\CRWD\000153552724000007\crwd-20240131.htm,,1,PASS,True,True,VALID_INLINE_XBRL,"status=PASS, physical counts non-zero and internally consistent, recorded counts match physical: {'xbrl_facts': 1324, 'xbrl_contexts': 294, 'xbrl_units': 12, 'xbrl_concepts': 1435, 'xbrl_labels': 1765, 'xbrl_presentation_relationships': 977, 'xbrl_calculation_relationships': 171, 'xbrl_definition_relationships': 1332, 'xbrl_roles': 145}"
